"","RIPID","min","max","avg","qav","std","ske","kur","p05","p10","p25","p50","p75","p90","int_p25","int_p50","int_p75","cov","dns","DBH","TotalHt","CrownHT","ba","ba.live","total.count","live.count","dbh.sq","crown.length","crown.mass","crown.mass.kg","mean.dbh.total","mean.dbh.live","mean.ht.total","mean.ht.live","max.ht.total","mean.crownht.total","mean.crownht.live","ba.ac.total","ba.ac.live","tpa.total","tpa.live","mean.crown.mass.lbs","mean.crown.mass.kg","qmd.total","qmd.live","crown.length.total","crown.length.live","crown.ratio.total","crown.ratio.live","B1.max","B2.max","B3.max","B4.max","B5.max","evi.max","mndwi.max","ndvi.max","ndwi.max","B1.mean","B2.mean","B3.mean","B4.mean","B5.mean","evi.mean","mndwi.mean","ndvi.mean","ndwi.mean","B1.min","B2.min","B3.min","B4.min","B5.min","evi.min","mndwi.min","ndvi.min","ndwi.min"
"21",24,1.37,35.79,16.27,331.8,8.2,-0.23,1.89,3.03,4.25,8.19,18.11,22.85,26.04,30,55,76,55.7,52.6,291.6,1589.4,679,24.36869016,23.58331416,23,22,4468.04,910.4,7006.70989699274,3178.2227601346,12.6782608695652,13.2545454545455,69.104347826087,72.2454545454545,108,29.5217391304348,30.8636363636364,97.47476064,94.33325664,92,88,318.48681349967,144.464670915209,13.9378121918633,14.2510605665939,39.5826086956522,41.3818181818182,0.572794765320247,0.572794765320247,269,324.7,484.9,422.4,2223.9,1.925282602,-0.390791211,0.750331718,-0.57664324,182.6333333,234.9,413.7444444,358.7,1920.055556,1.709108379,-0.48503933,0.683680689,-0.644744986,65.4,141.6,331.3,298.6,1619.3,1.416078578,-0.575511736,0.604955578,-0.699453372
"22",25,1.37,27.89,10.06,148.75,6.89,0.59,2.08,2.18,2.67,3.88,8.05,15.67,20.58,35,58,77,60.9,55.5,220.5,1089.3,508,22.85024202,22.85024202,12,12,4189.63,581.3,6818.6964741902,3092.94043100345,18.375,18.375,90.775,90.775,100.9,42.3333333333333,42.3333333333333,91.40096808,91.40096808,48,48,568.224706182517,257.745035916954,18.6851768344143,18.6851768344143,48.4416666666667,48.4416666666667,0.533645460387405,0.533645460387405,324.9166667,379.0833333,565.25,528.8333333,2214.25,1.795838027,-0.4042283,0.715258236,-0.542095015,215.975,270.5166667,454.5583333,414.625,1933.108333,1.602974411,-0.505834619,0.646203925,-0.619348278,82.75,161.5833333,355.5833333,337.8333333,1630.333333,1.325270324,-0.591502756,0.560732404,-0.677661364
"23",26,1.38,19.54,9.13,98.76,3.93,0.06,2.26,2.69,3.84,6.1,9.17,12.15,14.27,36,61,88,29.2,30,131.8,500.8,144,10.4564088,10.4564088,10,10,1917.2,356.8,2154.98233734876,977.493575863542,13.18,13.18,50.08,50.08,70,14.4,14.4,41.8256352,41.8256352,40,40,215.498233734876,97.7493575863542,13.8462991445368,13.8462991445368,35.68,35.68,0.712460063897764,0.712460063897764,408.3636364,472.7272727,676.9090909,754.0909091,2550.636364,1.628753926,-0.491100566,0.639727723,-0.515171596,303.0909091,376.9020979,580.2657343,635.5384615,2165.552448,1.237743044,-0.546311026,0.548697236,-0.578601794,160.6363636,235,423.5454545,481,1846.636364,0.948384907,-0.63069537,0.467736017,-0.650758586
"24",27,1.37,22.68,12.22,170.89,4.64,-0.23,2.23,4.16,5.31,8.7,12.73,15.75,18.13,23,49,87,53.9,48.9,500.2,2092,791.8,37.83690684,33.35344614,43,37,6937.46,1098.5,7190.42056669428,3261.55337326239,11.6325581395349,13.5189189189189,48.6511627906977,56.5405405405405,88.7,18.4139534883721,21.4,151.34762736,133.41378456,172,148,194.335690991737,88.1500911692539,12.7018218799418,13.6930244620726,30.2372093023256,35.1405405405405,0.62151051625239,0.62151051625239,358.3333333,413.75,573.6666667,613.3333333,2131.083333,1.706326861,-0.438812782,0.685644165,-0.508297799,205.4487179,261.8589744,423.3012821,437.0769231,1665.717949,1.344637343,-0.525869936,0.590532069,-0.600025997,20.75,66.91666667,193.3333333,204.5833333,1034.583333,1.005735391,-0.62598218,0.477647702,-0.697445318
"25",28,1.37,23.22,12.22,173.45,4.92,-0.5,2.37,2.61,4.19,8.89,13.04,16.08,17.97,28,52,87,55.5,51.5,378.7,2442,1404.3,20.7440163,20.7440163,44,44,3803.45,1037.7,3005.22113155177,1363.15936294646,8.60681818181818,8.60681818181818,55.5,55.5,76,31.9159090909091,31.9159090909091,82.9760652,82.9760652,176,176,68.3004802625401,30.9808946124195,9.2974214411602,9.2974214411602,23.5840909090909,23.5840909090909,0.424938574938575,0.424938574938575,240,281.8181818,426.5454545,355.9090909,2063.454545,2.124866263,-0.389219032,0.798166931,-0.59208288,137.5050505,178.6464646,351.2424242,272.5555556,1741.929293,1.825934077,-0.491925543,0.726831485,-0.663342633,24.18181818,87.09090909,267,219.8181818,1389,1.507501005,-0.595664718,0.647107043,-0.718163756
"26",29,1.37,26.65,15.08,246.69,4.39,-0.34,2.97,7.52,9.37,12.24,15.36,18.18,20.49,26,52,87,66.1,55.1,513,2897.6,1705.2,32.304042,32.09439024,50,49,5923,1159.4,3528.08081157973,1600.32695798772,10.26,10.469387755102,57.952,59.134693877551,86.6,34.104,34.8,129.216168,128.37756096,200,196,72.0016492159129,32.6597338364841,10.8839331126206,10.9944327284498,23.848,24.334693877551,0.411512976256212,0.411512976256212,234.1,273.9,419.7,348.8,2033.7,2.136144724,-0.377266353,0.807866281,-0.590366119,135.1333333,177.0888889,352.3222222,267.4111111,1765.088889,1.855443131,-0.479669079,0.734885007,-0.666169196,17.9,78.7,275.2,209.9,1470.6,1.542828567,-0.585197794,0.651491189,-0.724165803
"27",30,1.37,23.54,12.91,190.35,4.87,-0.26,2.19,4.48,6.1,9.07,13.42,16.85,19.11,35,63,98,52.6,48,421.7,2120.8,1079.9,25.9629489,25.1107614,42,41,4760.35,1040.9,3296.41329837819,1495.24326334854,10.0404761904762,10.2853658536585,50.4952380952381,51.7268292682927,78.6,25.7119047619048,26.3390243902439,103.8517956,100.4430456,168,164,80.4003243506876,36.4693478865497,10.6462043314351,10.7752539441526,24.7833333333333,25.3878048780488,0.490805356469257,0.490805356469257,262.2727273,311.9090909,495.7272727,434.5454545,2167.454545,2.119959803,-0.389978726,0.763110323,-0.574712157,171.0606061,219.8989899,403.1111111,338.7575758,1831.494949,1.7320526,-0.497099736,0.690981892,-0.640609487,59.54545455,120.3636364,295.1818182,255.4545455,1459.181818,1.376921429,-0.604738246,0.61467116,-0.693763018
"28",31,1.37,27.77,15.8,280.63,5.57,-0.91,3.29,2.86,7.03,12.94,16.98,19.82,21.76,29,57,88,58.8,54.1,336.6,1770.1,771.8,26.97733836,26.97733836,25,25,4946.34,998.3,3994.29350428869,1811.79964813966,13.464,13.464,70.804,70.804,100.5,30.872,30.872,107.90935344,107.90935344,100,100,159.771740171548,72.4719859255863,14.0660442200357,14.0660442200357,39.932,39.932,0.563979436190046,0.563979436190046,283.9090909,334.3636364,526.0909091,474.6363636,2507.272727,2.011672733,-0.433430861,0.793408909,-0.574456979,188.0606061,240.6767677,434.969697,376.8383838,2067.626263,1.708483103,-0.509880174,0.6931311,-0.652354045,62.27272727,132.8181818,341.0909091,274.1818182,1659.454545,1.368715208,-0.602997476,0.601984593,-0.7203401
"29",32,1.38,20.23,9.12,98.98,3.99,0.31,2.34,3.07,4.06,6.15,8.51,11.95,14.91,27,49,68,24.1,25.5,166.2,908.4,395.4,6.25759236,6.25759236,25,25,1147.34,513,754.307551152492,342.151660687876,6.648,6.648,36.336,36.336,61.6,15.816,15.816,25.03036944,25.03036944,100,100,30.1723020460997,13.686066427515,6.77448152997704,6.77448152997704,20.52,20.52,0.564729194187583,0.564729194187583,294.6666667,365.5,571.4166667,619.6666667,2840.083333,2.090863475,-0.440839355,0.791908756,-0.550571943,209.9444444,273.2037037,482.5092593,448.8703704,2227.361111,1.612982114,-0.5421968,0.663424015,-0.639306938,92,172.3333333,397.75,298.25,1625.583333,1.082953887,-0.63346235,0.533698472,-0.724148487
"30",33,1.38,24.46,12.21,174.51,5.04,-0.16,2.17,3.71,4.84,8.39,12.64,15.99,18.71,27,55,76,50.6,48,354.8,1842.4,679.7,22.00612644,20.1045348,37,31,4034.86,869.7,4702.74960739349,2133.15322842851,9.58918918918919,11.4451612903226,49.7945945945946,59.4322580645161,78.8,18.3702702702703,21.9258064516129,88.02450576,80.4181392,148,124,151.7016002385,68.8113944654358,10.4427137407031,11.4086271826872,31.4243243243243,37.5064516129032,0.631079027355623,0.631079027355623,299.3333333,355.4166667,532.3333333,501.8333333,2443.666667,1.839267283,-0.447943812,0.732940207,-0.594933018,193.5833333,252.0128205,440.9615385,424.5705128,2132,1.543953743,-0.515784939,0.667524204,-0.657744164,63.33333333,128.25,319.25,326.75,1860.333333,1.308543114,-0.621372466,0.600430583,-0.729042674
