RIPID,B1,B2,B3,B4,B5,B6,B7,evi,mndwi,ndvi,ndwi
1008,221.2987013,263.038961,445.7662338,342.5454545,2155.883117,1372.090909,694.974026,2.036006061,-0.509123187,0.723418122,-0.656116589
1006,244.2857143,289.6190476,471.5357143,386.7738095,2184.428571,1405.904762,744.7380952,1.956474581,-0.492528476,0.700606103,-0.645956213
1003,255.0089286,301.4151786,467.9255952,419.2127976,1887.6875,1486.125,831.2723214,1.762872641,-0.516578123,0.640689736,-0.604701618
25,215.975,270.5166667,454.5583333,414.625,1933.108333,1388.583333,779.0333333,1.602974411,-0.505834619,0.646203925,-0.619348278
32,209.9444444,273.2037037,482.5092593,448.8703704,2227.361111,1708.490741,993.75,1.612982114,-0.5421968,0.663424015,-0.639306938
37,222.2333333,286.5,450.9,512.7166667,1698.733333,1686.025,1296.041667,1.15475513,-0.578179181,0.538252878,-0.582061584
31,188.0606061,240.6767677,434.969697,376.8383838,2067.626263,1347.777778,728.0909091,1.708483103,-0.509880174,0.6931311,-0.652354045
24,182.6333333,234.9,413.7444444,358.7,1920.055556,1200.755556,633.5666667,1.709108379,-0.48503933,0.683680689,-0.644744986
16,275.6759259,341.8148148,521.537037,546.7685185,1898.240741,1839.861111,1135.814815,1.308917208,-0.557027981,0.553843876,-0.569584414
3,225.4632867,292.3991841,482.6538462,476.7284382,2081.66958,1680.91958,1007.972611,1.47725978,-0.554052575,0.630260522,-0.626490468
2,153.4558081,207.4166667,369.0656566,348.719697,1765.19697,1365.085227,763.7001263,1.700488661,-0.571486905,0.669438307,-0.652843739
6,443.0272727,536.9272727,755.8636364,921.0727273,2237.709091,2760.045455,1969.3,0.898082648,-0.56960122,0.419787684,-0.496997789
11,160.8531469,211.6923077,400.5734266,341.4825175,1971.916084,1255.482517,682.5664336,1.694166388,-0.515288104,0.708313725,-0.666138784
7,229.4545455,291.0151515,465.6287879,456.5454545,1877.280303,1320.136364,745.5075758,1.522534719,-0.481310005,0.617505404,-0.609158603
8,165.7545455,214.9909091,408.2272727,336.2363636,1829.354545,1133.927273,598.3454545,1.717775275,-0.471805075,0.689783794,-0.635315758
9,169.2743056,215.1458333,371.8611111,317.9328704,1549.388889,1019.381944,591.1493056,1.678735314,-0.454896547,0.650448233,-0.60181207
4,223.5384615,281.8290598,441.9059829,443.0854701,1920.777778,1447,830.4615385,1.521127225,-0.538138482,0.631649057,-0.632801228
15,184.1212121,234.2424242,405.7575758,362.7676768,1869.292929,1348.090909,771.8585859,1.690351045,-0.529381012,0.676593818,-0.643721033
14,587.825,707.275,983.0833333,1223.525,2599.008333,3315.233333,2483.6,0.75160156,-0.541095018,0.358041232,-0.44859919
21,125.2372685,168.53125,328.6423611,255.78125,1552.194444,973.7789352,497.4108796,1.900201738,-0.487627531,0.716102471,-0.649494812
22,128.2444444,171.5,357.4888889,263.3222222,1852.555556,1019.433333,502.9666667,1.873167753,-0.478227568,0.748226941,-0.675200504
23,165.1010101,212.9494949,413.0909091,337.4040404,2072.010101,1477.585859,771.040404,1.745353848,-0.562288956,0.71675739,-0.665760739
30,171.0606061,219.8989899,403.1111111,338.7575758,1831.494949,1223,665.3535354,1.7320526,-0.497099736,0.690981892,-0.640609487
36,214.3125,271.1,495.3625,442.1875,2329.8625,1659.075,908.725,1.606692808,-0.539136153,0.676493067,-0.646551377
35,285.6742424,350.6287879,546.25,622.4242424,2027.159091,1990.068182,1271.022727,1.18909752,-0.562982986,0.540315653,-0.579418768
34,191.9545455,247.3363636,427.0636364,402.2090909,1809.245455,1420.581818,804.3818182,1.514650818,-0.536286092,0.639963853,-0.620977247
29,135.1333333,177.0888889,352.3222222,267.4111111,1765.088889,1003.877778,491.0333333,1.855443131,-0.479669079,0.734885007,-0.666169196
28,137.5050505,178.6464646,351.2424242,272.5555556,1741.929293,1035.979798,518.7979798,1.825934077,-0.491925543,0.726831485,-0.663342633
40,321.6446281,394.2644628,603.5702479,662.2644628,2229.22314,2181.495868,1324.702479,1.215742827,-0.566108752,0.541510083,-0.574162532
39,141.0454545,186.6272727,364.1090909,295.2545455,1863.090909,1166.590909,595.1,1.758247181,-0.526604843,0.72298587,-0.672801924
26,303.0909091,376.9020979,580.2657343,635.5384615,2165.552448,2001.426573,1278.664336,1.237743044,-0.546311026,0.548697236,-0.578601794
27,205.4487179,261.8589744,423.3012821,437.0769231,1665.717949,1375.474359,806.8269231,1.344637343,-0.525869936,0.590532069,-0.600025997
20,106.5,140.67,281,199.59,1498.95,813.63,393.29,2.158704212,-0.472769141,0.764524001,-0.68314687
13,486.7363636,599.9272727,849.0636364,992.1818182,2396.4,2737.954545,1806.427273,0.925917295,-0.520928914,0.413239964,-0.475083145
12,121.5347222,169.6111111,324.0555556,261.7708333,1655.9375,846.2638889,432.9722222,1.822483659,-0.443094142,0.726515189,-0.673314542
19,253.1858974,321.7628205,488.1538462,528.224359,1721.980769,1536.519231,934.4102564,1.235901535,-0.512046389,0.535248727,-0.562080458
18,139.8269231,189.2795858,353.724359,309.8885602,1729.172584,1041.335306,560.9600592,1.667472516,-0.490206496,0.696644792,-0.661551219
17,157.7636364,209.1818182,390.5090909,337.4181818,1833.981818,1105.118182,615.1636364,1.655684191,-0.480227771,0.690163504,-0.650403234
33,193.5833333,252.0128205,440.9615385,424.5705128,2132,1385.685897,752.75,1.543953743,-0.515784939,0.667524204,-0.657744164
10,101.1060606,140.8848485,299.2636364,215.7010101,1653.861616,769.8515152,367.4272727,1.929619033,-0.445137593,0.769365722,-0.695168652
5,128.0972222,173.3263889,351.2569444,286.7291667,1865.555556,1195.048611,602.3402778,1.747036258,-0.546350896,0.730957905,-0.682912235
