RIPID,B1,B2,B3,B4,B5,evi,mndwi,ndvi,ndwi
1005,219.3409091,368.0113636,285.0909091,1712.784091,930.2727273,2.03063954,-0.436208042,0.716236337,-0.648279261
1004,257.45,423.375,335.3083333,1854.641667,1137.141667,1.984228779,-0.456003718,0.695209359,-0.630717561
1007,343.1770833,575.9479167,564.7916667,2059.875,2045.583333,1.315002919,-0.55830952,0.566722289,-0.560851688
1008,259.0808081,444.7474747,350.1515152,2206.939394,1285.676768,1.973941536,-0.487497647,0.725519343,-0.665124324
1006,276.1018519,475.8240741,375.9907407,2312.462963,1356.564815,1.975238473,-0.477712793,0.721447994,-0.660206993
1003,290.2777778,485.3148148,437.3611111,1874.601852,1416.342593,1.566738405,-0.485723943,0.628640701,-0.594903251
25,350.5,536.5208333,495.9791667,1906.145833,1408.208333,1.5744246,-0.453200517,0.588170206,-0.563790237
32,415.5104167,615.75,586.2604167,2016.270833,1789.28125,1.572673644,-0.482656486,0.559727217,-0.537353208
37,389.2633929,568.9196429,557.8422619,1894.040179,1590.241071,1.448833916,-0.476436307,0.548674536,-0.542089934
31,387.5454545,555.0340909,508.0568182,1958.931818,1424.113636,1.798747195,-0.442612553,0.594461864,-0.563907287
24,330.2142857,493.4428571,441.9285714,1823.957143,1195.928571,1.750419767,-0.421137705,0.612653649,-0.578774238
16,331.9895833,484.1145833,441.5729167,1738.125,1223.1875,1.734150194,-0.428291291,0.598663633,-0.567590664
3,380.4204545,565.5454545,545.1818182,1946.693182,1713.556818,1.510861604,-0.501448428,0.562339563,-0.549888012
2,317.8482143,483.7767857,445.4017857,1748.349702,1464.443452,1.618866457,-0.504022921,0.593903293,-0.567503134
6,513.6142857,777.3428571,856.6714286,2171.771429,2548.628571,0.981806135,-0.531551111,0.436289865,-0.473532844
11,295.8961039,481.6883117,414.8571429,1890.103896,1338.883117,1.742634534,-0.469010123,0.641277557,-0.595091435
7,310.1996753,471.4090909,436.4107143,1622.780844,1186.813312,1.433288306,-0.416609057,0.581188909,-0.550862822
8,264.3571429,427,359.0142857,1593.585714,1055.771429,1.786979465,-0.424880987,0.63514263,-0.579450899
9,289.547619,432.4642857,367.422619,1425.742063,980.5912698,1.852925379,-0.373199383,0.579851801,-0.522581972
4,372.7460317,542.968254,522.7619048,1884.52381,1505.269841,1.560113913,-0.470307327,0.568334881,-0.55549864
15,278.7840909,416.9431818,336.6477273,1728.920455,945.875,2.127383002,-0.393757349,0.677730463,-0.615460976
14,651.6755952,972.233631,1185.854167,2440.001488,3255.980655,0.713204176,-0.53793479,0.3474113,-0.42959294
21,260.4270833,415.25,329.46875,1606.416667,990.46875,1.988690153,-0.413664398,0.663610339,-0.592167194
22,279.9,455.6625,364.0375,1805.9375,1055.6625,1.929699943,-0.401146418,0.666475213,-0.599577832
23,331.7045455,514.4204545,457.1363636,1862.590909,1520.75,1.675907181,-0.497893848,0.606152399,-0.569641281
30,328.2207792,501.4285714,434.0519481,1776.805195,1269.480519,1.82195308,-0.438953971,0.619978287,-0.570191974
36,372.8933333,584.4444444,526.62,2145.3,1690.105556,1.634912184,-0.488057753,0.607509798,-0.57388311
35,332.5454545,491.0757576,421.4242424,1829.19697,1204.939394,1.934614195,-0.431244803,0.63302281,-0.584394296
34,284.8146853,437.5237762,355.7013986,1856.662238,968.7006993,2.106406755,-0.381886104,0.681669617,-0.621948904
29,283.8,435.4625,353.625,1695.425,1002.65,2.164962564,-0.407284161,0.662872571,-0.59987027
28,295.969697,463.4242424,375.969697,1746.575758,1038.020202,1.996986926,-0.392478913,0.652353829,-0.587492228
40,308.1590909,469.6287879,425.8106061,1769.583333,1133.69697,1.801234357,-0.394751072,0.60741741,-0.576295766
39,305.3,478.0923077,382.2538462,1897.476923,1225.784615,2.026313185,-0.441581777,0.663674146,-0.597675049
26,423.7636364,653.6434343,656.6979798,2155.129293,1918.974747,1.314120128,-0.48993691,0.534125458,-0.535820763
27,334.0361111,504.9148148,479.6212963,1753.563889,1335.063889,1.535589348,-0.450417909,0.571084415,-0.553737566
20,248.7375,397.8875,303.5375,1577.0875,951.825,2.119438028,-0.415329239,0.67920903,-0.600027841
13,552.025974,834.6103896,913.012987,2259.636364,2704.974026,0.960045637,-0.525242572,0.425051957,-0.460342524
12,250.1071429,396.5952381,319.6190476,1581.27381,899.4404762,1.976421573,-0.386957566,0.665701002,-0.601140792
19,358.21875,551.15625,537.3645833,1771.979167,1460.53125,1.376304379,-0.449217536,0.535451447,-0.526189839
18,266.8942308,434.7788462,380.9807692,1691.125,1008.105769,1.692144777,-0.402286527,0.638059194,-0.596364429
17,264.9772727,437.8522727,371.4431818,1740.090909,1028.625,1.746638148,-0.408747191,0.652430589,-0.6023505
33,350.6590909,542.3030303,495.7424242,2116.151515,1385.401515,1.665894148,-0.438353129,0.620213737,-0.592839693
10,207.2077922,354.3766234,271.1168831,1492.649351,769.987013,2.016396699,-0.376575806,0.695598537,-0.62126507
5,270.8928571,439.2619048,351.8333333,1876.964286,1155.011905,1.971936424,-0.451534639,0.686235284,-0.623109654
