system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8_1,B9,ID,LAT,LONG,mndwi,ndvi,ndwi,.geo
00006f46349911859245,0.18637904234201771,0.0022406214153997124,0.3216091455994301,0.2340413914338115,0.1494975924225323,0.1475116371773954,0.16211000034178571,0.18901693984024648,0.23724806180693567,0.263718074406502,0.2388424869223002,0.2893614935136936,0.12921199192868246,14,46.934516,-113.504196,-0.3859131800651717,0.21115202228047056,-0.25279788658289437,"{""type"":""Polygon"",""coordinates"":[[[-113.5041821789931,46.934949965345034],[-113.50436622986852,46.93493205745431],[-113.50453562994906,46.93487975928456],[-113.50467689475087,46.93479723386223],[-113.5047787795401,46.934691050332184],[-113.50483317443106,46.93456966101595],[-113.50483574988837,46.93444272857175],[-113.50478630126497,46.93432035682558],[-113.50468876497989,46.934212286505485],[-113.50455090508301,46.934127119899294],[-113.50438369518622,46.93407163614676],[-113.50420044497518,46.93405025165809],[-113.50401574082765,46.93406466859782],[-113.50384428484355,46.93411373940523],[-113.50369972466719,46.93419355813158],[-113.50359356721333,46.93429777132626],[-113.50353426274036,46.93441808373402],[-113.50352653217067,46.93454491856144],[-113.50357099121581,46.93466817976645],[-113.50366410125415,46.934778055700114],[-113.5037984509058,46.934865800131725],[-113.50396334592251,46.93492442848191],[-113.5041456604548,46.93494927383344],[-113.5041821789931,46.934949965345034]]]}"
0000cbbefa86bcdd52bb,0.1461249634917043,0.001483229160886369,0.1020492753207243,0.06479738789636444,0.12209038368275249,0.0993715171904326,0.08543138861436053,0.09554445203701627,0.12684352977926616,0.13920118786313357,0.14109307384977365,0.14667221596133653,0.06099702043880092,21,46.926426,-113.503592,-0.008798767082691925,0.2909663155847899,-0.18698473906814736,"{""type"":""Polygon"",""coordinates"":[[[-113.50359869623819,46.92687097335404],[-113.50378271935269,46.92685306546338],[-113.50395209388225,46.926800767293734],[-113.50409333737694,46.92671824187155],[-113.50419520679901,46.92661205834164],[-113.50424959348591,46.92649066902548],[-113.50425216855521,46.926363736581294],[-113.50420272739053,46.92624136483505],[-113.5041052058171,46.92613329451482],[-113.50396736671365,46.926048127908494],[-113.50380018203697,46.92599264415583],[-113.50361695946525,46.92597125966711],[-113.50343228317632,46.925985676606864],[-113.5032608530527,46.9260347474144],[-113.50311631468033,46.92611456614089],[-113.5030101732384,46.926218779335706],[-113.50295087771072,46.926339091743564],[-113.50294314830745,46.926465926570984],[-113.50298760064722,46.926589187775924],[-113.50308069664193,46.926699063709464],[-113.50321502602954,46.92678680814093],[-113.50337989617479,46.926845436490986],[-113.50356218320807,46.926870281842454],[-113.50359869623819,46.92687097335404]]]}"
0000a177b899053b5dc7,0.10988435751844383,0.0011942322688971493,0.06594390393307445,0.03470960678730872,0.07954232964849639,0.060020768631857326,0.04176405428492642,0.05610860216279401,0.09732253769452266,0.11012600831264717,0.10616551529589698,0.11861399152441651,0.04984260763153962,22,46.926839,-113.491783,0.0013245703256193635,0.4260283706775793,-0.25513914931327736,"{""type"":""Polygon"",""coordinates"":[[[-113.49179439127357,46.9272749229536],[-113.49197841577585,46.92725701506292],[-113.49214779158268,46.92720471689328],[-113.49228903614254,46.92712219147108],[-113.4923909063328,46.92701600794117],[-113.49244529342982,46.926894618625006],[-113.4924478685185,46.92676768618083],[-113.49239842698097,46.92664531443457],[-113.4923009046721,46.92653724411435],[-113.4921630645292,46.92645207750803],[-113.49199587859175,46.92639659375538],[-113.49181265463837,46.92637520926665],[-113.49162797695679,46.92638962620641],[-113.49145654554043,46.92643869701393],[-113.49131200607806,46.92651851574042],[-113.49120586383572,46.92662272893522],[-113.49114656786085,46.92674304134308],[-113.4911388383993,46.926869876170514],[-113.49118329107424,46.926993137375455],[-113.491276387771,46.92710301330899],[-113.49141071817161,46.92719075774046],[-113.49157558956017,46.92724938609053],[-113.49175787796811,46.927274231442],[-113.49179439127357,46.9272749229536]]]}"
00009a0dbfd4528d30d0,0.11119875656473763,0.0011104169602393975,0.09636957503644611,0.05167197808886586,0.08024147036271467,0.06379597816655788,0.051871907708396336,0.0670420341312148,0.10856831897537196,0.12338382305294382,0.12058959157591154,0.13480671301957997,0.046541102152883804,23,46.927252,-113.479974,-0.1576504138531986,0.3791099271694258,-0.2840131073400326,"{""type"":""Polygon"",""coordinates"":[[[-113.47999008630897,46.92772375584198],[-113.48017411235321,46.9277058479513],[-113.48034348957931,46.92765354978165],[-113.48048473532266,46.92757102435944],[-113.4805866063665,46.92746484082952],[-113.48064099391922,46.92734345151336],[-113.48064356902945,46.92721651906918],[-113.48059412707762,46.92709414732293],[-113.4804966039516,46.92698607700271],[-113.48035876265371,46.92690091039639],[-113.4801915753154,46.92684542664375],[-113.48000834982678,46.92682404215503],[-113.47982367059778,46.92683845909479],[-113.47965223774499,46.9268875299023],[-113.47950769707153,46.926967348628786],[-113.47940155393978,46.92707156182358],[-113.47934225746805,46.92719187423143],[-113.47933452794169,46.927318709058866],[-113.47937898098908,46.92744197026381],[-113.47947207846592,46.92755184619737],[-113.4796064099921,46.927639590628836],[-113.47977128276214,46.92769821897891],[-113.47995357269755,46.92772306433038],[-113.47999008630897,46.92772375584198]]]}"
0000212e20974316bc39,0.2523123998291129,0.0032384456108977507,0.2582544351650879,0.21178565930468388,0.22208842271454646,0.21378561840130747,0.22515795128713204,0.24271028120694,0.2806966577185141,0.2989194831179358,0.26805818772459356,0.31218423854347505,0.14317365507270746,30,46.919161,-113.479373,-0.04890120718774768,0.22515198795522193,-0.1610790471179687,"{""type"":""Polygon"",""coordinates"":[[[-113.47936172026523,46.919599880562174],[-113.47954571840519,46.91958197267154],[-113.47971506994833,46.919529674502],[-113.47985629427453,46.91944714907994],[-113.47995814987185,46.91934096555015],[-113.48001252917815,46.91921957623407],[-113.48001510389837,46.9190926437899],[-113.47996566944379,46.91897027204359],[-113.47986816110539,46.91886220172322],[-113.47973034070833,46.91877703511676],[-113.47956317872035,46.918721551364],[-113.47937998101379,46.91870016687523],[-113.47919532978726,46.918714583815024],[-113.47902392292852,46.91876365462264],[-113.47887940417165,46.91884347334927],[-113.47877327713455,46.9189476865442],[-113.47871398965428,46.919067998952144],[-113.47870626130039,46.91919483377959],[-113.47875070760776,46.919318094984455],[-113.47884379096845,46.91942797091788],[-113.47897810212592,46.91951571534922],[-113.47914294989609,46.91957434369916],[-113.47932521219046,46.91959918905058],[-113.47936172026523,46.919599880562174]]]}"
00001cde9bd011aac77d,0.1540916365810953,0.0014878865144147013,0.1022340417910067,0.05936959860416963,0.12644243460123658,0.10337869477330776,0.09095055538608926,0.10243834233628073,0.13661752302371377,0.14984148811576486,0.14988858473317718,0.15791607028957155,0.06191258684891665,36,46.911482,-113.466967,-0.0188772903252275,0.2769357346703745,-0.2042932413972125,"{""type"":""Polygon"",""coordinates"":[[[-113.4669739325457,46.91192483817073],[-113.46715790433424,46.911906930280125],[-113.46732723162364,46.91185463211069],[-113.46746843572453,46.91177210668878],[-113.4675702767349,46.91166592315913],[-113.4676246482537,46.91154453384312],[-113.4676272226056,46.911417601398945],[-113.46757779523108,46.91129522965255],[-113.46748030085737,46.91118715933207],[-113.46734250019803,46.91110199272547],[-113.46717536214967,46.911046508972596],[-113.46699219067914,46.91102512448378],[-113.46680756589679,46.911039541423605],[-113.46663618358554,46.911088612231325],[-113.46649168552563,46.911168430958085],[-113.46638557368749,46.911272644153165],[-113.46632629469835,46.91139295656119],[-113.46631856745168,46.91151979138864],[-113.46636300739411,46.91164305259345],[-113.46645607742418,46.91175292852676],[-113.46659036934645,46.911840672957936],[-113.46675519350792,46.91189930130777],[-113.46693742969947,46.91192414665914],[-113.4669739325457,46.91192483817073]]]}"
0000b633ae552b826810,0.14969504029507513,0.0017490335619080382,0.15883485166943032,0.10028133660207002,0.13448471728834874,0.11904924307815762,0.11004692387477562,0.1220001126552244,0.15406120080154276,0.16492449243687726,0.17895686840964667,0.17486038210537902,0.08294145562358238,35,46.911071,-113.478773,-0.207837201810406,0.2964004557177841,-0.244254138398432,"{""type"":""Polygon"",""coordinates"":[[[-113.47877823751031,46.91152088857119],[-113.47896220791223,46.91150298068059],[-113.4791315339254,46.91145068251115],[-113.47927273696203,46.91136815708925],[-113.47937457720484,46.9112619735596],[-113.47942894831384,46.911140584243604],[-113.47943152264635,46.91101365179943],[-113.47938209564438,46.91089128005303],[-113.4792846020055,46.91078320973254],[-113.47914680238478,46.910698043125926],[-113.47897966559614,46.91064255937305],[-113.47879649550612,46.910621174884234],[-113.47861187211528,46.91063559182407],[-113.47844049109571,46.91068466263179],[-113.4782959941249,46.91076448135856],[-113.47818988308654,46.91086869455364],[-113.47813060454419,46.91098900696167],[-113.47812287735577,46.91111584178912],[-113.47816731696328,46.911239102993925],[-113.47826038629191,46.91134897892722],[-113.478394677202,46.9114367233584],[-113.47855950012118,46.911495351708226],[-113.4787417349392,46.91152019705959],[-113.47877823751031,46.91152088857119]]]}"
0000390cad2c0e0ac6b9,0.10935498720046755,0.0012780876157944268,0.09526856929158171,0.05243226582935522,0.07975284171137989,0.0617587439228245,0.04798324282145433,0.06674058694998032,0.11245043172037662,0.12615367684468765,0.13168539854787673,0.13779357098236963,0.06336023986606973,34,46.910659,-113.490578,-0.16229180524808623,0.4629602712132746,-0.3492742873974705,"{""type"":""Polygon"",""coordinates"":[[[-113.49058254247494,46.911116938971624],[-113.49076651149025,46.91109903108104],[-113.49093583622722,46.91104673291161],[-113.49107703819962,46.91096420748971],[-113.49117887767487,46.91085802396007],[-113.49123324837412,46.910736634644074],[-113.49123582268723,46.9106097021999],[-113.49118639605781,46.910487330453506],[-113.49108890315375,46.910379260133006],[-113.49095110457158,46.91029409352639],[-113.49078396904262,46.91023860977351],[-113.49060080033314,46.91021722528468],[-113.49041617833375,46.91023164222451],[-113.49024479860586,46.91028071303224],[-113.49010030272409,46.910360531759025],[-113.4899941924855,46.910464744954105],[-113.48993491438993,46.91058505736214],[-113.4899271872598,46.9107118921896],[-113.48997162653238,46.9108351533944],[-113.49006469515956,46.91094502932769],[-113.49019898505752,46.91103277375886],[-113.49036380673444,46.91109140210868],[-113.49054604017894,46.91111624746003],[-113.49058254247494,46.911116938971624]]]}"
000040914fccd8b81d1f,0.1078414525770981,0.0010302223094450485,0.05647463829177066,0.02974868554164489,0.07593973202074844,0.056118701927064155,0.04023791484313904,0.05177180636766179,0.08472565259986892,0.09485119086182192,0.09132250349498079,0.09975995945999885,0.04355134971008682,29,46.918749,-113.491181,0.03362457529525354,0.35784949967999136,-0.20810855232605063,"{""type"":""Polygon"",""coordinates"":[[[-113.49116602522982,46.919195930962616],[-113.4913500219826,46.91917802307198],[-113.49151937224897,46.919125724902436],[-113.49166059551048,46.91904319948039],[-113.4917624503399,46.91893701595061],[-113.49181682923626,46.91881562663453],[-113.49181940393709,46.91868869419036],[-113.49176996985523,46.918566322444036],[-113.49167246225196,46.91845825212368],[-113.49153464289391,46.9183730855172],[-113.49136748216617,46.91831760176444],[-113.49118428584073,46.91829621727567],[-113.49099963600626,46.91831063421545],[-113.49082823043975,46.918359705023086],[-113.4906837127724,46.91843952374972],[-113.4905775865354,46.91854373694467],[-113.49051829950214,46.91866404935261],[-113.49051057120653,46.918790884180055],[-113.49055501717883,46.918914145384925],[-113.49064809983777,46.919024021318336],[-113.49078240998267,46.91911176574966],[-113.49094725651001,46.91917039409961],[-113.49112951743028,46.919195239451014],[-113.49116602522982,46.919195930962616]]]}"
00009181458681ebe573,0.10657896766942843,0.0010978206463102232,0.053017434701669565,0.02774852662932537,0.07513876336521233,0.054722266144606006,0.03807876033761026,0.04953463776845642,0.08229101414380649,0.09204679298992881,0.08866825603712622,0.09708758479263066,0.042497633101579,28,46.918336,-113.502988,0.07196980324168212,0.3766961911398413,-0.21012291676894224,"{""type"":""Polygon"",""coordinates"":[[[-113.50297033019444,46.91879198136307],[-113.50315432556006,46.91877407347245],[-113.5033236745497,46.91872177530291],[-113.50346489674654,46.91863924988087],[-113.50356675080809,46.9185330663511],[-113.50362112929452,46.918411677035024],[-113.50362370397595,46.91828474459084],[-113.50357427026678,46.91816237284452],[-113.50347676339862,46.918054302524155],[-113.50333894507959,46.91796913591767],[-113.50317178561205,46.9179136521649],[-113.50298859066768,46.91789226767613],[-113.50280394222527,46.91790668461592],[-113.50263253795093,46.917955755423556],[-113.50248802137311,46.918035574150196],[-113.50238189593618,46.91813978734514],[-113.50232260934989,46.9182600997531],[-113.50231488111257,46.91838693458054],[-113.50235932674983,46.9185101957854],[-113.50245240870703,46.91862007171881],[-113.50258671783936,46.918707816150125],[-113.50275156312394,46.918766444500065],[-113.50293382267014,46.918791289851484],[-113.50297033019444,46.91879198136307]]]}"
00006d93c6da0c27374d,0.11865491795607708,0.0014410441345344713,0.18794125908530504,0.11348539654712832,0.09242603270789558,0.0788155546930709,0.07500671515554685,0.10098130578769561,0.15888830546550758,0.17992862890471514,0.18794891801710784,0.20252268052385267,0.09184799144294328,40,46.902156,-113.50178,-0.4039367210585127,0.42954447556966907,-0.40716560081585745,"{""type"":""Polygon"",""coordinates"":[[[-113.50175848139577,46.902589114092244],[-113.50194242114573,46.90257120620169],[-113.50211171894698,46.902518908032384],[-113.50225289845754,46.90243638261064],[-113.50235472173283,46.90233019908114],[-113.5024090837834,46.90220880976524],[-113.50241165768747,46.902081877321066],[-113.50236223892102,46.90195950557459],[-113.50226476152588,46.90185143525395],[-113.50212698486403,46.90176626864717],[-113.50195987592194,46.90171078489417],[-113.50177673634965,46.901689400405296],[-113.50159214371863,46.90170381734516],[-113.50142079125273,46.901752888153005],[-113.5012763183566,46.90183270687993],[-113.5011702249977,46.90193692007517],[-113.5011109563322,46.902057232483294],[-113.5011032304317,46.90218406731077],[-113.50114766263549,46.90230732851549],[-113.50124071645797,46.90241720444864],[-113.5013749849937,46.90250494887967],[-113.50153978045127,46.90256357722935],[-113.50172198490651,46.90258842258065],[-113.50175848139577,46.902589114092244]]]}"
0000f2fb55772d59c9b0,0.10846120923726062,9.968298993458201E-4,0.061477870096797956,0.03311945212786467,0.07617722734856161,0.05590912350133592,0.039474806610223234,0.05279497141704125,0.08975904451190442,0.10097330806802468,0.09701721472570533,0.10879292843227617,0.050316934845488694,39,46.901742,-113.513584,0.010987459341744464,0.39867087310575683,-0.24194140689248725,"{""type"":""Polygon"",""coordinates"":[[[-113.51356278636041,46.90218516449271],[-113.51374672472441,46.902167256602155],[-113.51391602125008,46.902114958432854],[-113.51405719969691,46.902032433011115],[-113.514159022205,46.90192624948162],[-113.51421338384603,46.90180486016572],[-113.51421595773073,46.90167792772155],[-113.51416653933663,46.90155555597507],[-113.51406906267594,46.90144748565443],[-113.51393128705219,46.90136231904764],[-113.51376417936918,46.90130683529464],[-113.51358104117674,46.90128545080576],[-113.51339644993651,46.90129986774563],[-113.51322509876165,46.90134893855347],[-113.51308062695406,46.90142875728041],[-113.51297453439453,46.90153297047564],[-113.51291526617561,46.901653282883785],[-113.51290754033333,46.90178011771126],[-113.51295197220237,46.901903378915975],[-113.51304502532376,46.90201325484913],[-113.51317929284782,46.90210099928013],[-113.51334408706373,46.902159627629814],[-113.51352629014612,46.90218447298111],[-113.51356278636041,46.90218516449271]]]}"
00009e12e39b9588e103,0.11962343692529714,0.0015554138999419316,0.19417595821704398,0.12507378642027336,0.09354356467369923,0.08138167915896358,0.07535600757738364,0.10051391917562884,0.15446583955303758,0.17444929338983833,0.17448702494122956,0.19530027131496341,0.09110042110860994,26,46.917506,-113.526602,-0.3973495887265187,0.40328589485651806,-0.36380532269414556,"{""type"":""Polygon"",""coordinates"":[[[-113.5266238234125,46.917939198875125],[-113.52680781584979,46.9179212909845],[-113.5269771621442,46.91786899281498],[-113.52711838209345,46.91778646739296],[-113.52722023453401,46.9176802838632],[-113.52727461215504,46.917558894547135],[-113.52727718679553,46.91743196210295],[-113.52722775387315,46.917309590356616],[-113.52713024855683,46.91720152003624],[-113.5269924324312,46.91711635342974],[-113.52682527562398,46.917060869676966],[-113.52664208359514,46.917039485188184],[-113.52645743809137,46.917053902127975],[-113.52628603654493,46.917102972935616],[-113.52614152226707,46.91718279166228],[-113.52603539851916,46.91728700485724],[-113.52597611287646,46.9174073172652],[-113.52596838476218,46.91753415209264],[-113.52601282969212,46.917657413297505],[-113.52610591016794,46.9177672892309],[-113.52624021716274,46.9178550336622],[-113.52640505982376,46.917913662012126],[-113.52658731646923,46.91793850736353],[-113.5266238234125,46.917939198875125]]]}"
00005a00ce67bc51eb01,0.10964097062966745,0.0011664557090352006,0.08446295702444853,0.04737085968049037,0.07869704724741386,0.06017280349169979,0.0458090460967959,0.06111737912581022,0.10458671752986948,0.11778371044959868,0.1145996469375579,0.1269142761218732,0.057585170649715106,27,46.917922,-113.514795,-0.11363649381745118,0.4234269408695138,-0.29188690794063354,"{""type"":""Polygon"",""coordinates"":[[[-113.51477463515904,46.91838803176352],[-113.51495862913754,46.9183701238729],[-113.51512797685048,46.918317825703376],[-113.51526919798265,46.91823530028133],[-113.51537105127636,46.918129116751565],[-113.51542542935285,46.918007727435494],[-113.5154280040149,46.91788079499132],[-113.51537857067842,46.91775842324499],[-113.51528106454535,46.91765035292462],[-113.51514324726531,46.91756518631812],[-113.51497608905794,46.917509702565354],[-113.51479289549462,46.91748831807657],[-113.51460824844422,46.91750273501638],[-113.51443684546206,46.917551805824004],[-113.5142923299737,46.91763162455065],[-113.51418620533686,46.91773583774562],[-113.51412691919754,46.91785615015357],[-113.5141191910185,46.917982984981016],[-113.5141636363207,46.91810624618588],[-113.51425671757619,46.91821612211928],[-113.51439102569599,46.91830386655059],[-113.51455586973782,46.918362494900514],[-113.51473812790996,46.918387340251925],[-113.51477463515904,46.91838803176352]]]}"
00006b98b34ced5f2c44,0.1343354104033763,0.001700179747840332,0.08968948320595894,0.05720376415674755,0.1047272997799362,0.08437687482699245,0.07211393138448063,0.0839899996099951,0.11623129851312693,0.127528569558691,0.1227056992694626,0.13374853499749276,0.06364862572285307,20,46.926012,-113.515401,-0.0028994815363730256,0.32121519417272026,-0.19060470832202325,"{""type"":""Polygon"",""coordinates"":[[[-113.51540300120278,46.92646702375451],[-113.51558702292957,46.926449115863846],[-113.51575639618186,46.926396817694204],[-113.51589763861145,46.92631429227202],[-113.51599950726533,46.926208108742124],[-113.51605389354214,46.92608671942597],[-113.51605646859203,46.92595978698179],[-113.51600702780021,46.92583741523553],[-113.51590950696219,46.92572934491529],[-113.51577166889818,46.92564417830895],[-113.5156044854822,46.92558869455629],[-113.51542126429214,46.925567310067564],[-113.51523658939581,46.92558172700733],[-113.51506516056493,46.925630797814854],[-113.5149206232825,46.92571061654135],[-113.514814482641,46.92581482973618],[-113.51475518756048,46.92593514214404],[-113.51474745821552,46.92606197697148],[-113.51479191022008,46.9261852381764],[-113.5148850055128,46.92629511410994],[-113.51501933388742,46.9263828585414],[-113.51518420278938,46.92644148689145],[-113.51536648844804,46.92646633224292],[-113.51540300120278,46.92646702375451]]]}"
00000c95d648d8449f1d,0.12476732985525535,0.0016058412575568656,0.1974658188470878,0.13523376454226346,0.1028845650966836,0.08783126737022316,0.08738196815447832,0.09855600049886752,0.12116203820316458,0.13450353292245712,0.13507125737700726,0.1498921971262237,0.06561898360229254,13,46.934102,-113.516007,-0.22266198210089716,0.19671346779117718,-0.16192036543363408,"{""type"":""Polygon"",""coordinates"":[[[-113.5159864839577,46.9345460157455],[-113.5161705334448,46.93452810785478],[-113.51633993224752,46.93447580968503],[-113.51648119598377,46.934393284262704],[-113.51658308000448,46.934287100732654],[-113.51663747448515,46.934165711416426],[-113.51664004992305,46.934038778972244],[-113.51659060167268,46.933916407226064],[-113.51649306612332,46.93380833690596],[-113.51635520726632,46.93372317029977],[-113.5161879986308,46.933667686547224],[-113.51600474980202,46.93364630205855],[-113.51582004704771,46.93366071899827],[-113.5156485923569,46.93370978980569],[-113.51550403327094,46.93378960853206],[-113.51539787661784,46.93389382172674],[-113.51533857259224,46.934014134134515],[-113.51533084208089,46.93414096896193],[-113.51537530079068,46.934264230166924],[-113.5154684101267,46.93437410610059],[-113.51560275876494,46.934461850532195],[-113.51576765253782,46.934520478882376],[-113.51594996569487,46.934545324233895],[-113.5159864839577,46.9345460157455]]]}"
