RIPID,B1,B2,B3,B4,B5,B6,B7,evi,mndwi,ndvi,ndwi
30,59.54545455,120.3636364,295.1818182,255.4545455,1459.181818,922.5454545,472.9090909,1.376921429,-0.604738246,0.61467116,-0.693763018
36,97.3,168.6,414.3,345.1,1878.8,1461.4,779.4,1.288609708,-0.594428408,0.591181916,-0.704842305
35,169,237.5833333,420.1666667,450.5833333,1714.75,1555.333333,947.5833333,0.969852341,-0.638123184,0.495679289,-0.648235957
34,59.5,134.4,309.5,320.4,1523.8,1221.8,692.1,1.284922761,-0.637528175,0.571303356,-0.704891407
29,17.9,78.7,275.2,209.9,1470.6,839,402.2,1.542828567,-0.585197794,0.651491189,-0.724165803
28,24.18181818,87.09090909,267,219.8181818,1389,817.7272727,403.1818182,1.507501005,-0.595664718,0.647107043,-0.718163756
40,210.6363636,295,489.4545455,598.7272727,2008,1995.545455,1192.636364,1.029291113,-0.634818879,0.495699075,-0.630301465
39,3.1,65.8,221.6,213.4,1519,988.7,497.9,1.438882787,-0.641463655,0.613761437,-0.755502534
26,160.6363636,235,423.5454545,481,1846.636364,1485.818182,815.9090909,0.948384907,-0.63069537,0.467736017,-0.650758586
27,20.75,66.91666667,193.3333333,204.5833333,1034.583333,682.9166667,340.9166667,1.005735391,-0.62598218,0.477647702,-0.697445318
20,-11.1,31.9,114,59.5,862.7,322.9,130,1.59154969,-0.620922458,0.643557316,-0.774698269
13,326.5454545,453.3636364,733.5454545,790.5454545,2104.636364,2050.545455,1115.272727,0.579680929,-0.570615763,0.298409768,-0.553939727
12,-2.083333333,56.33333333,211.1666667,174.8333333,1282.666667,631.8333333,297.5,1.453785928,-0.576714506,0.603362833,-0.767577474
19,89.33333333,154.6666667,301.5,357.5833333,1305.333333,932.75,463,0.90202004,-0.59833159,0.435665632,-0.649241835
18,24.15384615,82.38461538,249.0769231,234.8461538,1382.538462,818.2307692,422.6923077,1.379240372,-0.608587494,0.624780306,-0.746387775
17,30.36363636,86.36363636,281.8181818,240.1818182,1566.818182,922.9090909,470.6363636,1.421704791,-0.572432003,0.625201231,-0.744379954
33,63.33333333,128.25,319.25,326.75,1860.333333,1075.25,492.75,1.308543114,-0.621372466,0.600430583,-0.729042674
10,-4.454545455,37,209.3636364,134.2727273,1308.363636,568,261.3636364,1.614566009,-0.579245985,0.637737068,-0.781535479
5,20.83333333,65.58333333,249,219,1505.166667,1006.166667,461.4166667,1.440297921,-0.646472504,0.641819095,-0.760807306
